227	231
226	99
226	47
226	44
226	43
169	171
152	231
152	229
174	174
110	166
110	143
142	223
87	115
87	105
87	104
87	96
87	88
223	135
223	149
223	85
223	81
223	143
83	166
83	223
79	86
78	97
75	97
97	97
71	116
71	109
71	86
71	82
71	77
71	76
77	85
76	85
70	116
70	109
70	86
70	82
70	77
70	76
94	135
67	94
64	108
64	106
64	105
64	104
64	100
61	104
168	169
168	168
56	168
54	143
66	105
66	104
66	68
52	135
52	88
52	85
52	66
52	65
85	231
85	88
171	231
171	174
171	172
171	171
98	166
98	153
63	143
44	225
44	95
43	225
43	95
41	95
41	41
58	143
73	97
73	96
95	107
95	106
95	105
95	104
166	166
107	107
35	103
35	95
35	35
32	33
22	143
96	166
96	153
96	149
96	135
96	115
27	230
27	27
20	135
20	108
20	28
20	27
165	165
82	166
82	99
82	98
82	93
82	85
81	166
81	98
81	93
69	69
60	85
57	135
57	64
57	62
57	61
57	57
40	135
40	88
39	58
39	39
37	73
34	166
34	108
34	107
34	88
34	57
34	35
21	143
21	96
21	88
21	47
21	21
13	165
13	153
13	135
13	129
13	127
13	108
13	82
13	81
13	69
13	68
13	62
13	60
13	57
13	46
13	40
13	39
13	37
13	34
13	33
13	21
13	17
13	13
93	143
93	110
93	106
93	104
8	93
135	149
115	135
153	231
153	166
88	166
88	135
88	104
88	98
99	57
99	225
99	143
99	230
68	165
68	150
68	143
68	69
68	68
46	143
46	98
46	63
46	47
46	46
17	68
17	17
7	153
7	135
7	115
7	106
7	105
7	104
7	100
7	88
7	68
7	47
7	46
7	28
7	17
6	153
6	106
6	105
6	104
6	100
6	88
6	68
6	46
6	28
5	143
5	99
5	68
5	47
5	46
5	17
5	7
5	6
5	5
4	230
4	229
4	228
4	103
230	231
229	231
103	171
103	107
103	103
47	231
47	171
47	166
47	153
47	135
47	96
47	88
47	65
47	57
47	47
3	230
3	229
3	143
3	127
3	103
3	47
3	3
2	106
2	105
2	104
2	2
143	174
143	165
143	150
106	155
105	155
105	143
104	155
104	150
104	105
104	104
100	155
100	150
100	104
1	143
1	106
1	105
1	104
1	100
224	165
224	96
224	21
224	57
224	47
